id,title,company,location,created,description,redirect_url,salary_min,salary_max
5223503935,Early Years Practitioner L2,Partou,"Royston, Barnsley",2025-05-30T15:58:28Z,"Join Partou, where we put children in the lead! Full /part time 40 and 20 hours available - starting from 13.40 per hour We're seeking dedicated and qualified level 2 early years practitioners to join our Bumpkins Day Nursery family! At Partou, we are committed to providing exceptional care, compassion, and continuous learning. These values guide our interactions with children, families, and team members, ensuring a nurturing and supportive environment. Level 2 nursery practitioner – qualificat…",https://www.adzuna.co.uk/jobs/details/5223503935?utm_medium=api&utm_source=3aea9429,27872,27872
5197944391,Residential Kitchen and Bathroom Fitter / Remedial Fitter,Bellamy Group Ltd,"Benfleet, Essex",2025-05-14T11:05:20Z,"We are looking for a part or full time kitchen and bathroom fitter / remedial fitter to join our small family run business. We work all over Essex and occasionally beyond. We look forward to receiving your CV! Own insurance, van, asbestos cert, DBS and tools needed and minimum 3 yrs experience please",https://www.adzuna.co.uk/jobs/details/5197944391?utm_medium=api&utm_source=3aea9429,25000,50000
5217999687,Care Assistant,Home Instead Chelmsford,"Heybridge, Maldon",2025-05-27T09:08:55Z,"We have part-time average hour contracts available ranging from 10 hours to 16 hours with various shift patterns available. This role is UK based and the right to work in the UK will need to be established as part of the recruitment process. All of our Care Professionals must Have a full UK driving license and their own reliable vehicle . Our Care Professionals benefit from: Full, accredited training Paid Holiday Paid DBS Paid travel and wait time Out of hours support Home Instead Benefits Casu…",https://www.adzuna.co.uk/jobs/details/5217999687?utm_medium=api&utm_source=3aea9429,13,13
5172742351,Persian Interpreters Required,Premium Linguistic Services,"Sheffield, South Yorkshire",2025-05-01T11:33:03Z,We are currently looking for Persian Interpreters in Sheffield. We are extremely in-demand right now; this is an excellent opportunity to receive multiple interpreting assignments from Premium Linguistic Services every day! . Skills and experience required: Fluent in English and Persian languages Qualification and/or Experience in Interpreting and/or Languages - if you are not sure about your qualification or experience please send us CV our friendly recruitment team will evaluate it for you. M…,https://www.adzuna.co.uk/jobs/details/5172742351?utm_medium=api&utm_source=3aea9429,18,18
5205853841,[Agency] Registered Mental Health Nurse,All Saints Support Healthcare Agency,"Manchester, Greater Manchester",2025-05-19T10:42:38Z,"Are you a skilled RMN (Nurse) looking for flexible and valuable work where you can make a difference? At All Saints Support Ltd, we provide you with the opportunity to positively impact the lives of our patients by delivering skilled and compassionate mental health care across a variety of Mental Health healthcare settings. Due to high demand, we are seeking a Registered Mental Health Nurse (RMN) to join our team, with opportunities to work primarily in the Greater Manchester Area. About the Ro…",https://www.adzuna.co.uk/jobs/details/5205853841?utm_medium=api&utm_source=3aea9429,54080,66560
5221578829,Business Administration Level 3,Professional Training Solutions,"Whyteleafe, Surrey",2025-05-29T11:40:54Z,"Role Responsibilities Assist with daily administrative tasks to ensure efficient and smooth office operations. Support the management team in problem-solving activities and decision-making processes. Manage schedules, appointments, and organise meetings to optimise time management. Provide exceptional customer service, handling inquiries and ensuring client satisfaction. Utilise IT systems to maintain accurate records and streamline administrative processes. Benefits of Doing a Business Admin A…",https://www.adzuna.co.uk/jobs/details/5221578829?utm_medium=api&utm_source=3aea9429,15704,15704
5201435912,Healthcare Assistants,Cambridgeshire Care Agency Ltd,"Sleaford, Lincolnshire",2025-05-16T10:00:30Z,"Full Time experienced Support Staff required. Part-time positions also available. Flexible hours available. Day shifts / Night shifts Working with one of East Anglia's leading suppliers of healthcare staff Role Subject to satisfactory DBS Checks Weekly pay / Holiday Pay / Pension Scheme Apply today! Job Types: Full-time, Part-time",https://www.adzuna.co.uk/jobs/details/5201435912?utm_medium=api&utm_source=3aea9429,12,12
5196398952,Early Years Practitioner L2,Partou,"Ascot, Windsor & Maidenhead",2025-05-13T14:40:16Z,"Join Partou, where we put children in the lead! 30 hours a week full time - starting from £13.40 per hour We're seeking dedicated and qualified level 2 early years practitioners to join our Natures Day Nursery family! At Partou, we are committed to providing exceptional care, compassion, and continuous learning. These values guide our interactions with children, families, and team members, ensuring a nurturing and supportive environment. Level 2 nursery practitioner – qualifications & experienc…",https://www.adzuna.co.uk/jobs/details/5196398952?utm_medium=api&utm_source=3aea9429,20900,20900
5193026267,Beauty Spa Therapist,Therapists4u,"Tortworth, Wotton-Under-Edge",2025-05-10T22:33:10Z,Looking for NVQL3 Beauty therapists for spa cover Must be reliable & professional with great customer service skills Work within exclusive spas 7.5-8 hour shifts Treatments usually a combination of facials massage and manicures 25 or 55 minutes Half hour lunch break Free parking Cover the days suitable for you Gain experience in your chosen profession Payment made weekly Good hourly rate Driving licence needed For your registration Therapists4u.com,https://www.adzuna.co.uk/jobs/details/5193026267?utm_medium=api&utm_source=3aea9429,31200,31200
5218602267,Customer Support Lead (Zendesk Experience),Elvis Eckardt Recruitment,"Manchester, Greater Manchester",2025-05-27T16:34:15Z,"Position: Customer Support Lead (Zendesk Experience) Location: Manchester We’re looking for a strategic and hands-on Customer Support Lead to take full ownership of the support function at a growing tech company in the secure messaging and fintech space. This role is ideal for someone who’s not only experienced in frontline customer support but also knows how to scale support operations through smart tooling, AI integration, and killer content—without hiring a big team. What You'll Be Doing Own…",https://www.adzuna.co.uk/jobs/details/5218602267?utm_medium=api&utm_source=3aea9429,40000,50000
